Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,380,250,274.8010819142773,1193,5,12683.25390625,18364.0,18476.0,3088.9282
2,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,15368.0,16412.0,3074.4748
3,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,20104.0,22552.0,2944.7748
4,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,19556.0,21852.0,2895.385
5,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,14344.0,15392.0,2996.8229
6,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,14328.0,15392.0,2911.6964
7,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,19884.0,22336.0,2968.0672
8,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,19688.0,21640.0,2940.8754
9,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,15356.0,16416.0,2912.7388
10,1,0.1,301,380,250,274.8010819142773,1193,5,12683.59765625,15352.0,16412.0,2897.6229
1,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,15336.0,15392.0,2703.0989
2,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,20464.0,21728.0,2822.9359
3,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,15356.0,15396.0,2670.385
4,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,15352.0,15388.0,2769.5061
5,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,21308.0,22884.0,2672.2465
6,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,15344.0,15388.0,2724.3415
7,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,15344.0,15392.0,2775.9934
8,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,15336.0,15388.0,2760.4838
9,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,15368.0,15388.0,2728.896
10,2,0.15000000000000002,301,380,250,276.3158005400387,1317,6,12684.01171875,20088.0,21032.0,2780.1736
1,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15364.0,16412.0,3504.0818
2,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15356.0,16412.0,3582.1677
3,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15356.0,16412.0,3544.38
4,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15352.0,16412.0,3430.7729
5,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15352.0,16412.0,3576.671
6,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,21184.0,23612.0,3429.8141
7,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15364.0,16412.0,3455.1295
8,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15364.0,16412.0,3528.3116
9,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15376.0,16412.0,3421.2451
10,3,0.20000000000000004,301,380,250,281.48737341529255,1605,7,12701.18359375,15364.0,16416.0,3519.5705
1,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,20632.0,23004.0,3661.3375
2,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15388.0,16416.0,3792.5209
3,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15376.0,16412.0,3716.2562
4,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15376.0,16416.0,3864.4959
5,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15372.0,16412.0,3935.1265
6,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15368.0,16416.0,3824.2073
7,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15376.0,16412.0,3805.8092
8,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15388.0,16416.0,3749.8038
9,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15368.0,16412.0,3784.6346
10,4,0.25000000000000006,301,380,250,287.8305191658002,2039,9,12725.33984375,15376.0,16416.0,3806.5898
1,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15480.0,16412.0,4971.8429
2,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,20424.0,22428.0,5100.4254
3,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15472.0,16412.0,5033.2169
4,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15492.0,16412.0,5048.4282
5,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15472.0,16412.0,4972.5894
6,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15472.0,16412.0,5124.3348
7,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15488.0,16412.0,5105.856
8,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12791.0419921875,15480.0,16412.0,5054.8657
9,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15480.0,16412.0,5154.7356
10,5,0.30000000000000004,301,380,250,308.07315985291956,3012,13,12790.45703125,15488.0,16412.0,5335.2222
1,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15356.0,15388.0,2793.5043
2,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15360.0,15388.0,3026.3367
3,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,20880.0,22176.0,2597.0182
4,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15368.0,15388.0,2574.6165
5,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15360.0,15388.0,2611.3421
6,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15360.0,15388.0,2809.86
7,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15360.0,15388.0,2978.9312
8,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15360.0,15388.0,2738.3002
9,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15372.0,15388.0,3026.4244
10,6,0.3500000000000001,301,380,250,301.3452377915616,1915,8,12710.38671875,15916.0,15968.0,2851.5143
1,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,15464.0,16412.0,4395.8206
2,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,16036.0,16992.0,4501.0726
3,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,15464.0,16412.0,4297.5821
4,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,15464.0,16412.0,4432.7784
5,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.78515625,19968.0,21676.0,4538.5293
6,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,14452.0,15388.0,4425.0816
7,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,14468.0,15392.0,4304.0039
8,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,14440.0,15392.0,4410.9502
9,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,14436.0,15392.0,4429.9578
10,7,0.40000000000000013,301,380,250,338.31580054003894,3409,14,12803.43359375,15020.0,15972.0,4401.2073
